主管单位,报考单位,报考职位,计划招考人数,报考人数,审核通过人数,交费人数
长寿区,长寿区新市街道办事处,综合管理,1,6,1,0
长寿区,长寿区八颗街道办事处,综合管理,1,2,2,0
长寿区,长寿区纪委监委,纪检监察1,2,6,3,1
长寿区,长寿区纪委监委,纪检监察2,2,11,3,2
长寿区,长寿区纪委监委,纪检监察3,1,4,2,0
长寿区,长寿区纪委监委,纪检监察4,1,4,3,2
长寿区,长寿区委政法委,综合管理,1,7,3,2
长寿区,长寿区委网络安全和信息化委员会办公室,综合管理,1,5,1,0
长寿区,长寿区教委,综合管理,1,5,3,3
长寿区,长寿区司法局,司法助理员1,1,2,0,0
长寿区,长寿区司法局,司法助理员2,1,3,1,0
长寿区,长寿区司法局,司法助理员3,1,7,5,1
长寿区,长寿区人力社保局,综合管理1,1,2,1,1
长寿区,长寿区人力社保局,综合管理2,1,5,2,1
长寿区,长寿区住房城乡建委,综合管理,1,20,11,6
长寿区,长寿区交通运输委,综合管理,1,15,2,1
长寿区,长寿区机关事务局,综合管理1,1,4,2,0
长寿区,长寿区机关事务局,综合管理2,1,45,22,12
长寿区,长寿区老干部活动中心（参照）,综合管理,1,10,2,1
长寿区,长寿区委党校（参照）,教学管理,1,4,1,1
长寿区,长寿区价格认证中心（参照）,价格认证,1,7,1,0
长寿区,长寿区公共资源交易中心（参照）,项目服务1,1,2,1,0
长寿区,长寿区公共资源交易中心（参照）,项目服务2,1,7,4,3
长寿区,长寿区救助管理站（参照）,综合管理,1,4,3,3
长寿区,长寿区低保管理中心（参照）,综合管理,1,3,1,0
长寿区,长寿区基层财政事务中心（参照）,综合管理1,1,1,0,0
长寿区,长寿区基层财政事务中心（参照）,综合管理2,1,2,0,0
长寿区,长寿区基层财政事务中心（参照）,综合管理3,1,5,3,1
长寿区,长寿区基层财政事务中心（参照）,综合管理4,1,4,3,0
长寿区,长寿区社会保险事务中心（参照）,综合管理,1,5,3,0
长寿区,长寿区就业和人才中心（参照）,综合管理1,1,1,0,0
长寿区,长寿区就业和人才中心（参照）,综合管理2,1,5,2,0
长寿区,长寿区劳动人事争议仲裁院（参照）,劳动仲裁,1,1,1,1
长寿区,长寿区社会经济调查队（参照）,经济调查1,1,6,2,0
长寿区,长寿区社会经济调查队（参照）,经济调查2,1,3,0,0
长寿区,长寿区社会经济调查队（参照）,经济调查3,1,6,2,0
长寿区,长寿区风景名胜区事务中心（参照）,财务管理,1,4,1,1
长寿区,长寿区风景名胜区事务中心（参照）,综合管理,1,3,1,0
长寿区,长寿区妇女联合会（参照）,综合管理1,1,41,15,4
长寿区,长寿区妇女联合会（参照）,综合管理2,1,6,3,2
长寿区,长寿区归侨侨眷联合会（参照）,综合管理,1,3,0,0
长寿区,长寿区科学技术协会（参照）,综合管理,1,0,0,0
长寿区,长寿区文学艺术界联合会（参照）,综合管理1,1,11,3,0
长寿区,长寿区文学艺术界联合会（参照）,综合管理2,1,12,0,0
长寿区,长寿区文学艺术界联合会（参照）,综合管理3,1,8,4,2
长寿区,长寿区社会科学界联合会（参照）,综合管理1,1,1,0,0
长寿区,长寿区社会科学界联合会（参照）,综合管理2,1,4,1,1
长寿区,长寿区社会科学界联合会（参照）,综合管理3,1,0,0,0
长寿区,长寿区社会科学界联合会（参照）,综合管理4,1,2,0,0
长寿区,长寿区法学会（参照）,综合管理1,1,4,0,0
长寿区,长寿区法学会（参照）,综合管理2,1,1,0,0
长寿区,长寿区红十字会（参照）,综合管理,1,0,0,0
长寿区,长寿区计划生育协会（参照）,综合管理,1,6,2,0
长寿区,长寿区生态环境保护综合行政执法支队（参照）,环境执法1,1,3,2,0
长寿区,长寿区生态环境保护综合行政执法支队（参照）,环境执法2,1,6,1,0
长寿区,长寿区城市管理综合行政执法支队（参照）,行政执法1,2,21,12,2
长寿区,长寿区城市管理综合行政执法支队（参照）,行政执法2,2,10,3,1
长寿区,长寿区城市管理综合行政执法支队（参照）,行政执法3,2,18,9,4
长寿区,长寿区城市管理综合行政执法支队（参照）,行政执法4,2,9,6,2
长寿区,长寿区城市管理综合行政执法支队（参照）,行政执法5,2,30,9,1
长寿区,长寿区城市管理综合行政执法支队（参照）,党建工作1,1,4,1,1
长寿区,长寿区城市管理综合行政执法支队（参照）,党建工作2,1,3,0,0
长寿区,长寿区交通运输综合行政执法支队（参照）,综合执法1,1,5,2,1
长寿区,长寿区交通运输综合行政执法支队（参照）,综合执法2,1,3,3,1
长寿区,长寿区交通运输综合行政执法支队（参照）,综合执法3,1,0,0,0
长寿区,长寿区农业综合行政执法支队（参照）,行政执法1,1,3,2,1
长寿区,长寿区农业综合行政执法支队（参照）,行政执法2,1,1,0,0
长寿区,长寿区农业综合行政执法支队（参照）,行政执法3,1,7,4,1
长寿区,长寿区农业综合行政执法支队（参照）,行政执法4,1,3,2,0
长寿区,长寿区农业综合行政执法支队（参照）,行政执法5,1,0,0,0
长寿区,长寿区农业综合行政执法支队（参照）,行政执法6,1,1,1,1
长寿区,长寿区农业综合行政执法支队（参照）,综合管理1,1,1,0,0
长寿区,长寿区农业综合行政执法支队（参照）,综合管理2,1,0,0,0
长寿区,长寿区应急管理综合行政执法支队（参照）,行政执法,2,16,4,1
长寿区,长寿区公安局,基层执法勤务1,4,15,5,3
长寿区,长寿区公安局,基层执法勤务2,3,26,1,1
长寿区,长寿区公安局,基层执法勤务3,2,38,7,2
长寿区,长寿区公安局,基层执法勤务4（交通安全技术）,4,19,2,1
长寿区,长寿区公安局,基层执法勤务5（信息通信）,3,13,3,2
江津区,江津区白沙镇人民政府,综合管理1,1,8,0,0
江津区,江津区白沙镇人民政府,综合管理2,1,9,0,0
江津区,江津区白沙镇人民政府,综合管理3,1,11,0,0
江津区,江津区白沙镇人民政府,综合管理4,1,1,0,0
江津区,江津区白沙镇人民政府,综合管理5,1,3,0,0
江津区,江津区白沙镇人民政府,综合管理6,2,17,0,0
江津区,江津区白沙镇人民政府,综合管理7,1,36,0,0
江津区,江津区白沙镇人民政府,综合管理8,1,11,0,0
江津区,江津区白沙镇人民政府,综合管理9,1,2,0,0
江津区,江津区支坪镇人民政府,综合管理1,1,1,0,0
江津区,江津区支坪镇人民政府,综合管理2,1,9,0,0
江津区,江津区珞璜镇人民政府,综合管理1,1,20,0,0
江津区,江津区珞璜镇人民政府,综合管理2,1,42,0,0
江津区,江津区石蟆镇人民政府,综合管理1,1,3,0,0
江津区,江津区石蟆镇人民政府,综合管理2,1,0,0,0
江津区,江津区石蟆镇人民政府,综合管理3,1,10,0,0
江津区,江津区石蟆镇人民政府,综合管理4,1,8,0,0
江津区,江津区李市镇人民政府,综合管理1,1,19,0,0
江津区,江津区李市镇人民政府,综合管理2,1,5,0,0
江津区,江津区李市镇人民政府,综合管理3,1,5,0,0
江津区,江津区李市镇人民政府,综合管理4,1,6,0,0
江津区,江津区李市镇人民政府,综合管理5,1,16,1,0
江津区,江津区李市镇人民政府,综合管理6,1,14,0,0
江津区,江津区李市镇人民政府,综合管理7,1,2,0,0
江津区,江津区油溪镇人民政府,综合管理1,1,8,0,0
江津区,江津区油溪镇人民政府,综合管理2,1,10,0,0
江津区,江津区油溪镇人民政府,综合管理3,1,7,0,0
江津区,江津区油溪镇人民政府,综合管理4,1,1,0,0
江津区,江津区先锋镇人民政府,综合管理,1,4,0,0
江津区,江津区蔡家镇人民政府,综合管理1,1,6,0,0
江津区,江津区蔡家镇人民政府,综合管理2,1,7,0,0
江津区,江津区蔡家镇人民政府,综合管理3,1,1,0,0
江津区,江津区西湖镇人民政府,综合管理,1,5,0,0
江津区,江津区石门镇人民政府,综合管理1,1,9,0,0
江津区,江津区石门镇人民政府,综合管理2,1,3,0,0
江津区,江津区石门镇人民政府,综合管理3,1,2,0,0
江津区,江津区永兴镇人民政府,综合管理1,1,8,0,0
江津区,江津区永兴镇人民政府,综合管理2,1,11,0,0
江津区,江津区永兴镇人民政府,综合管理3,1,6,0,0
江津区,江津区龙华镇人民政府,综合管理1,1,11,0,0
江津区,江津区龙华镇人民政府,综合管理2,1,8,0,0
江津区,江津区贾嗣镇人民政府,综合管理1,1,8,0,0
江津区,江津区贾嗣镇人民政府,综合管理2,1,6,0,0
江津区,江津区杜市镇人民政府,综合管理,1,3,0,0
江津区,江津区朱杨镇人民政府,综合管理1,1,3,0,0
江津区,江津区朱杨镇人民政府,综合管理2,1,23,0,0
江津区,江津区朱杨镇人民政府,综合管理3,1,1,0,0
江津区,江津区嘉平镇人民政府,综合管理,1,17,0,0
江津区,江津区夏坝镇人民政府,综合管理1,1,6,0,0
江津区,江津区夏坝镇人民政府,综合管理2,1,12,0,0
江津区,江津区四面山镇人民政府,综合管理,1,6,0,0
江津区,江津区鼎山街道办事处,综合管理,1,4,0,0
江津区,江津区德感街道办事处,综合管理1,1,10,0,0
江津区,江津区德感街道办事处,综合管理2,1,5,0,0
江津区,江津区德感街道办事处,综合管理3,1,6,0,0
江津区,江津区德感街道办事处,综合管理4,1,10,0,0
江津区,江津区德感街道办事处,综合管理5,1,4,0,0
江津区,江津区双福街道办事处,综合管理,1,24,0,0
江津区,江津区纪委监委,纪检监察1,1,7,0,0
江津区,江津区纪委监委,纪检监察2,1,4,0,0
江津区,江津区司法局,综合管理1,1,0,0,0
江津区,江津区司法局,综合管理2,1,1,0,0
江津区,江津区委党校（参照）,综合管理,1,12,0,0
江津区,江津区残疾人联合会（参照）,综合管理,1,5,0,0
江津区,江津区工业园区发展中心（参照）,综合管理1,1,16,0,0
江津区,江津区工业园区发展中心（参照）,综合管理2,1,2,0,0
江津区,江津区工业园区发展中心（参照）,综合管理3,1,2,0,0
江津区,江津区工业园区发展中心（参照）,综合管理4,1,6,0,0
江津区,江津区工业园区发展中心（参照）,综合管理5,1,14,0,0
江津区,江津区工业园区发展中心（参照）,综合管理6,1,4,0,0
江津区,江津区工业园区发展中心（参照）,综合管理7,1,8,0,0
江津区,江津区工业园区发展中心（参照）,综合管理8,1,5,0,0
江津区,江津区工业园区发展中心（参照）,综合管理9,1,14,0,0
江津区,江津区工业园区发展中心（参照）,综合管理10,1,7,0,0
江津区,江津区工业园区发展中心（参照）,综合管理11,1,1,0,0
江津区,江津区工业园区发展中心（参照）,综合管理12,1,3,0,0
江津区,江津区工业园区发展中心（参照）,综合管理13,1,9,0,0
江津区,江津区城市居民最低生活保障管理中心（参照）,综合管理1,1,1,0,0
江津区,江津区城市居民最低生活保障管理中心（参照）,综合管理2,1,7,0,0
江津区,江津区民政局婚姻登记处（参照）,综合管理,1,25,0,0
江津区,江津区救助管理站（参照）,综合管理1,1,4,0,0
江津区,江津区救助管理站（参照）,综合管理2,1,9,0,0
江津区,江津区就业和人才中心（参照）,综合管理1,1,6,0,0
江津区,江津区就业和人才中心（参照）,综合管理2,1,4,0,0
江津区,江津区社会保险事务中心（参照）,综合管理,1,8,0,0
江津区,江津区劳动人事争议仲裁院（参照）,综合管理1,1,19,0,0
江津区,江津区劳动人事争议仲裁院（参照）,综合管理2,1,1,0,0
江津区,江津区水旱灾害防御中心（参照）,综合管理,1,3,0,0
江津区,江津区水利工程管理站（参照）,综合管理,1,10,0,0
江津区,江津区供水管理站（参照）,综合管理1,1,4,0,0
江津区,江津区供水管理站（参照）,综合管理2,1,1,0,0
江津区,江津区农村经济经营管理站（参照）,综合管理1,1,10,0,0
江津区,江津区农村经济经营管理站（参照）,综合管理2,1,4,0,0
江津区,江津区军队离休退休干部服务管理中心（参照）,综合管理,1,9,0,0
江津区,江津区医疗保障事务中心（参照）,综合管理,1,10,0,0
江津区,江津区森林病虫防治站（参照）,综合管理,1,9,0,0
江津区,江津区招商中心（参照）,综合管理1,1,4,0,0
江津区,江津区招商中心（参照）,综合管理2,1,2,0,0
江津区,江津区招商中心（参照）,综合管理3,1,11,0,0
江津区,江津区招商中心（参照）,综合管理4,1,5,0,0
江津区,江津区法律援助中心（参照）,综合管理1,1,2,0,0
江津区,江津区法律援助中心（参照）,综合管理2,1,6,0,0
江津区,江津区法律援助中心（参照）,综合管理3,1,3,0,0
江津区,江津区军粮供应站（参照）,综合管理,1,16,0,0
江津区,江津区人民防空应急指挥中心（参照）,综合管理1,1,2,0,0
江津区,江津区人民防空应急指挥中心（参照）,综合管理2,1,4,0,0
江津区,江津区交通运输综合行政执法支队（参照）,行政执法1,1,1,0,0
江津区,江津区交通运输综合行政执法支队（参照）,行政执法2,1,5,0,0
江津区,江津区交通运输综合行政执法支队（参照）,行政执法3,1,7,0,0
江津区,江津区交通运输综合行政执法支队（参照）,行政执法4,1,1,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法1,1,5,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法2,1,4,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法3,1,7,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法4,1,5,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法5,1,0,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法6,1,8,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法7,1,8,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法8,1,2,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法9,1,0,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法10,1,4,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法11,1,14,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法12,1,3,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法13,1,2,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法14,1,6,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法15,1,3,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法16,1,0,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法17,1,2,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法18,1,3,0,0
江津区,江津区城市管理综合行政执法支队（参照）,行政执法19,1,0,0,0
江津区,江津区公安局,基层警务技术职位1,4,21,0,0
江津区,江津区公安局,基层警务技术职位2,3,13,0,0
江津区,江津区公安局,基层警务技术职位3,3,9,0,0
江津区,江津区公安局,基层执法勤务职位1,1,6,0,0
江津区,江津区公安局,基层执法勤务职位2,4,21,0,0
江津区,江津区公安局,基层执法勤务职位3,2,14,0,0
江津区,江津区公安局,基层执法勤务职位4,3,7,0,0
江津区,江津区公安局,基层执法勤务职位5,2,7,0,0
江津区,江津区公安局,基层执法勤务职位6,3,4,0,0
江津区,江津区公安局,基层执法勤务职位7,2,9,0,0
江津区,江津区公安局,基层执法勤务职位8,3,17,0,0
合川区,合川区狮滩镇人民政府,综合管理1,1,4,1,1
合川区,合川区狮滩镇人民政府,综合管理2,1,9,4,3
合川区,合川区狮滩镇人民政府,综合管理3,1,3,1,1
合川区,合川区双凤镇人民政府,综合管理1,1,13,8,1
合川区,合川区双凤镇人民政府,综合管理2,1,3,2,0
合川区,合川区土场镇人民政府,综合管理,1,5,3,1
合川区,合川区三汇镇人民政府,综合管理1,1,5,3,3
合川区,合川区三汇镇人民政府,综合管理2,1,9,3,1
合川区,合川区三汇镇人民政府,综合管理3,1,18,11,1
合川区,合川区三汇镇人民政府,综合管理4,1,1,0,0
合川区,合川区小沔镇人民政府,综合管理,1,7,0,0
合川区,合川区双槐镇人民政府,综合管理1,1,3,3,2
合川区,合川区双槐镇人民政府,综合管理2,2,5,4,1
合川区,合川区双槐镇人民政府,综合管理3,1,2,0,0
合川区,合川区香龙镇人民政府,财务统计1,1,4,0,0
合川区,合川区香龙镇人民政府,财务统计2,1,0,0,0
合川区,合川区香龙镇人民政府,综合管理,1,0,0,0
合川区,合川区龙市镇人民政府,综合管理1,2,24,2,1
合川区,合川区龙市镇人民政府,综合管理2,2,30,4,3
合川区,合川区龙市镇人民政府,综合管理3,1,1,0,0
合川区,合川区肖家镇人民政府,综合管理1,1,8,1,1
合川区,合川区肖家镇人民政府,综合管理2,1,2,0,0
合川区,合川区涞滩镇人民政府,综合管理1,1,8,5,1
合川区,合川区涞滩镇人民政府,综合管理2,1,13,9,2
合川区,合川区涞滩镇人民政府,综合管理3,1,4,1,0
合川区,合川区涞滩镇人民政府,综合管理4,1,5,0,0
合川区,合川区官渡镇人民政府,财务管理,1,5,0,0
合川区,合川区钱塘镇人民政府,综合管理1,1,3,2,1
合川区,合川区钱塘镇人民政府,综合管理2,1,5,5,2
合川区,合川区钱塘镇人民政府,综合管理3,1,11,2,1
合川区,合川区沙鱼镇人民政府,财务管理,1,2,1,1
合川区,合川区古楼镇人民政府,综合管理1,1,14,11,3
合川区,合川区古楼镇人民政府,综合管理2,1,3,2,0
合川区,合川区古楼镇人民政府,综合管理3,1,14,10,2
合川区,合川区古楼镇人民政府,综合管理4,1,0,0,0
合川区,合川区三庙镇人民政府,综合管理1,1,1,0,0
合川区,合川区三庙镇人民政府,综合管理2,1,3,1,0
合川区,合川区燕窝镇人民政府,综合管理1,1,8,7,2
合川区,合川区燕窝镇人民政府,综合管理2,1,2,2,0
合川区,合川区燕窝镇人民政府,村镇建设1,1,12,5,4
合川区,合川区燕窝镇人民政府,村镇建设2,1,4,2,0
合川区,合川区二郎镇人民政府,综合管理1,1,22,10,5
合川区,合川区二郎镇人民政府,综合管理2,1,6,2,1
合川区,合川区龙凤镇人民政府,综合管理,1,0,0,0
合川区,合川区太和镇人民政府,综合管理1,1,12,6,4
合川区,合川区太和镇人民政府,综合管理2,1,15,8,3
合川区,合川区太和镇人民政府,基层党建1,1,9,4,3
合川区,合川区太和镇人民政府,基层党建2,1,15,10,6
合川区,合川区太和镇人民政府,综合管理3,1,0,0,0
合川区,合川区隆兴镇人民政府,综合管理1,2,18,12,4
合川区,合川区隆兴镇人民政府,综合管理2,1,12,5,4
合川区,合川区隆兴镇人民政府,综合管理3,1,14,7,4
合川区,合川区铜溪镇人民政府,综合管理1,1,23,13,7
合川区,合川区铜溪镇人民政府,综合管理2,1,27,13,2
合川区,合川区渭沱镇人民政府,综合管理1,1,20,8,0
合川区,合川区渭沱镇人民政府,综合管理2,1,2,0,0
合川区,合川区渭沱镇人民政府,综合管理3,1,0,0,0
合川区,合川区纪委监委,审查调查1,1,4,0,0
合川区,合川区纪委监委,审查调查2,1,4,1,1
合川区,合川区纪委监委,监察调查1,1,2,0,0
合川区,合川区纪委监委,监察调查2,1,3,0,0
合川区,合川区纪委监委,监察调查3,1,0,0,0
合川区,合川区委社会工作部,综合管理,1,7,2,1
合川区,合川区科技局,综合管理,1,18,2,2
合川区,合川区民政局,综合管理,1,15,5,5
合川区,合川区司法局,宣传文化,1,14,1,0
合川区,合川区司法局,司法助理,1,9,5,1
合川区,合川区财政局,财政管理1,1,1,1,0
合川区,合川区财政局,财政管理2,1,2,1,1
合川区,合川区住房城乡建委,工程管理,1,5,1,0
合川区,合川区南津街街道办事处,基层党建1,1,6,0,0
合川区,合川区南津街街道办事处,基层党建2,1,3,1,1
合川区,合川区钓鱼城街道办事处,法治建设,1,3,0,0
合川区,合川区钓鱼城街道办事处,基层党建,1,3,2,0
合川区,合川区大石街道办事处,综合管理1,1,2,0,0
合川区,合川区大石街道办事处,综合管理2,1,3,0,0
合川区,合川区大石街道办事处,综合管理3,1,8,1,1
合川区,合川区草街街道办事处,财务管理,1,10,1,1
合川区,合川区草街街道办事处,综合管理,1,10,2,2
合川区,合川区云门街道办事处,综合管理1,1,1,0,0
合川区,合川区云门街道办事处,综合管理2,1,3,0,0
合川区,合川区党员教育中心（参照）,综合管理1,1,2,0,0
合川区,合川区党员教育中心（参照）,综合管理2,1,11,2,0
合川区,合川区党员教育中心（参照）,综合管理3,1,2,0,0
合川区,合川区党员教育中心（参照）,综合管理4,1,9,1,1
合川区,合川区老干部活动中心（参照）,综合管理,1,7,2,1
合川区,合川区委党校（参照）,综合管理1,1,35,16,8
合川区,合川区委党校（参照）,综合管理2,1,21,10,4
合川区,合川区委史志研究中心（参照）,党史编纂,1,33,12,4
合川区,合川区机关事务管理中心（参照）,综合管理1,1,7,1,1
合川区,合川区机关事务管理中心（参照）,综合管理2,1,12,0,0
合川区,合川区总工会（参照）,综合管理,1,21,8,4
合川区,合川区残疾人联合会（参照）,综合管理,1,0,0,0
合川区,合川区人防应急指挥中心（参照）,综合管理1,1,10,3,2
合川区,合川区人防应急指挥中心（参照）,综合管理2,1,2,0,0
合川区,合川区人防应急指挥中心（参照）,综合管理3,1,2,0,0
合川区,合川区社会救助中心（参照）,综合管理1,1,3,1,0
合川区,合川区社会救助中心（参照）,综合管理2,1,0,0,0
合川区,合川区殡葬事务所（参照）,财务管理,1,5,5,1
合川区,合川区殡葬事务所（参照）,综合管理1,1,17,4,2
合川区,合川区殡葬事务所（参照）,综合管理2,1,14,3,2
合川区,合川区殡葬事务所（参照）,综合管理3,1,5,3,1
合川区,合川区殡葬事务所（参照）,综合管理4,1,10,3,2
合川区,合川区会计委派中心（参照）,综合管理1,1,1,0,0
合川区,合川区会计委派中心（参照）,综合管理2,1,1,0,0
合川区,合川区会计委派中心（参照）,综合管理3,1,2,0,0
合川区,合川区会计委派中心（参照）,综合管理4,1,4,1,0
合川区,合川区劳动人事争议仲裁院（参照）,综合管理1,1,1,0,0
合川区,合川区劳动人事争议仲裁院（参照）,综合管理2,1,1,0,0
合川区,合川区社会保险事务中心（参照）,工伤待遇审核1,1,13,3,0
合川区,合川区社会保险事务中心（参照）,工伤待遇审核2,1,9,4,1
合川区,合川区社会保险事务中心（参照）,综合管理,1,2,0,0
合川区,合川区社会保险事务中心（参照）,财务管理1,1,7,3,1
合川区,合川区社会保险事务中心（参照）,财务管理2,1,2,1,1
合川区,合川区就业和人才中心（参照）,综合管理,1,7,0,0
合川区,合川区道路运输事务中心（参照）,综合管理1,3,18,5,2
合川区,合川区道路运输事务中心（参照）,综合管理2,3,21,8,4
合川区,合川区畜牧兽医中心（参照）,综合管理1,1,8,7,1
合川区,合川区畜牧兽医中心（参照）,综合管理2,1,9,3,1
合川区,合川区钓鱼城风景名胜区事务中心（参照）,风景园林管理,1,20,9,4
合川区,合川区军队离退休干部服务管理中心（参照）,财务会计,1,2,0,0
合川区,合川区国有资产管理中心（参照）,综合管理1,1,4,2,1
合川区,合川区国有资产管理中心（参照）,综合管理2,1,9,3,2
合川区,合川区森林病虫防治检疫站（参照）,综合管理1,1,1,0,0
合川区,合川区森林病虫防治检疫站（参照）,综合管理2,1,8,4,1
合川区,合川区森林病虫防治检疫站（参照）,综合管理3,1,13,9,1
合川区,合川区政务服务中心（参照）,综合管理1,1,1,0,0
合川区,合川区政务服务中心（参照）,综合管理2,1,6,0,0
合川区,合川区政务服务中心（参照）,综合管理3,1,8,0,0
合川区,合川区供销合作社（参照）,经济发展,1,15,7,1
合川区,合川区生态环境保护综合行政执法支队（参照）,行政执法1,1,10,3,2
合川区,合川区生态环境保护综合行政执法支队（参照）,行政执法2,1,7,2,1
合川区,合川区城市管理综合行政执法支队（参照）,行政执法1,2,7,4,3
合川区,合川区城市管理综合行政执法支队（参照）,行政执法2,2,6,3,0
合川区,合川区城市管理综合行政执法支队（参照）,行政执法3,1,2,0,0
合川区,合川区城市管理综合行政执法支队（参照）,行政执法4,1,2,0,0
合川区,合川区城市管理综合行政执法支队（参照）,综合管理1,1,3,2,2
合川区,合川区城市管理综合行政执法支队（参照）,综合管理2,1,0,0,0
合川区,合川区城市管理综合行政执法支队（参照）,综合管理3,2,0,0,0
合川区,合川区城市管理综合行政执法支队（参照）,综合管理4,2,0,0,0
合川区,合川区交通运输综合行政执法支队（参照）,交通法制审核,2,0,0,0
合川区,合川区交通运输综合行政执法支队（参照）,交通执法1,3,10,3,2
合川区,合川区交通运输综合行政执法支队（参照）,交通执法2,3,6,2,0
合川区,合川区交通运输综合行政执法支队（参照）,交通执法3,2,11,3,0
合川区,合川区交通运输综合行政执法支队（参照）,交通执法4,1,2,0,0
合川区,合川区交通运输综合行政执法支队（参照）,交通执法5,1,0,0,0
合川区,合川区交通运输综合行政执法支队（参照）,工程质量监督管理1,1,5,0,0
合川区,合川区交通运输综合行政执法支队（参照）,工程质量监督管理2,1,0,0,0
合川区,合川区交通运输综合行政执法支队（参照）,综合管理1,1,1,0,0
合川区,合川区交通运输综合行政执法支队（参照）,综合管理2,1,3,0,0
合川区,合川区交通运输综合行政执法支队（参照）,综合管理3,1,7,4,1
合川区,合川区交通运输综合行政执法支队（参照）,综合管理4,1,4,2,2
合川区,合川区交通运输综合行政执法支队（参照）,数字交通执法,1,2,2,1
合川区,合川区农业综合行政执法支队（参照）,行政执法1,2,16,1,1
合川区,合川区农业综合行政执法支队（参照）,行政执法2,2,14,1,0
合川区,合川区农业综合行政执法支队（参照）,法制审核,1,0,0,0
合川区,合川区应急管理综合行政执法支队（参照）,矿山监管,1,5,0,0
合川区,合川区应急管理综合行政执法支队（参照）,水旱防治,1,5,1,1
合川区,合川区应急管理综合行政执法支队（参照）,行政执法,1,10,4,3
合川区,合川区应急管理综合行政执法支队（参照）,财务管理,1,4,2,1
合川区,合川区公安局,基层执法勤务1,4,11,4,1
合川区,合川区公安局,基层执法勤务2,1,0,0,0
合川区,合川区公安局,基层执法勤务3,1,2,2,1
合川区,合川区公安局,基层执法勤务4,2,7,5,2
合川区,合川区公安局,基层执法勤务5,2,6,3,1
合川区,合川区公安局,基层执法勤务6,2,16,8,1
合川区,合川区公安局,基层执法勤务7,2,18,7,2
合川区,合川区公安局,基层执法勤务8,2,1,0,0
合川区,合川区公安局,基层执法勤务9,2,6,2,1
合川区,合川区公安局,基层执法勤务10,1,1,0,0
合川区,合川区公安局,基层执法勤务11,1,3,2,0
合川区,合川区公安局,基层执法勤务12,1,8,2,0
合川区,合川区公安局,基层执法勤务13,1,2,2,1
合川区,合川区公安局,基层警务技术1（网络安全管理）,2,11,4,0
合川区,合川区公安局,基层警务技术2（网络安全管理）,2,10,4,2
合川区,合川区公安局,基层警务技术3（法医）,1,3,1,0
永川区,永川区乡镇机关,综合管理1,1,9,1,1
永川区,永川区乡镇机关,综合管理2,1,4,0,0
永川区,永川区街道机关,综合管理1,4,25,1,1
永川区,永川区街道机关,综合管理2,4,54,4,2
永川区,永川区街道机关,综合管理3,1,15,0,0
永川区,永川区街道机关,综合管理4,1,6,1,0
永川区,永川区纪委监委,纪检监察1,1,2,0,0
永川区,永川区纪委监委,纪检监察2,1,2,2,2
永川区,永川区政协办公室,综合管理,1,3,1,0
永川区,永川区委编办,综合管理,1,7,4,2
永川区,永川区民政局,综合管理,1,3,0,0
永川区,永川区司法局,综合管理1,1,8,3,0
永川区,永川区司法局,综合管理2,1,0,0,0
永川区,永川区司法局,综合管理3,1,21,14,5
永川区,永川区司法局,综合管理4,1,3,1,0
永川区,永川区司法局,综合管理5,1,7,3,0
永川区,永川区财政局,综合管理,1,10,9,5
永川区,永川区交通运输委,综合管理,1,10,8,2
永川区,永川区农业农村委,综合管理,1,19,11,4
永川区,永川区文化旅游委,综合管理1,1,10,7,3
永川区,永川区文化旅游委,综合管理2,1,3,3,0
永川区,永川区林业局,综合管理,1,21,12,5
永川区,永川区物流办公室,综合管理,1,29,26,6
永川区,永川区档案馆（参照）,综合管理,1,5,0,0
永川区,永川区残疾人联合会（参照）,综合管理1,1,12,1,1
永川区,永川区残疾人联合会（参照）,综合管理2,1,1,1,0
永川区,永川区老干部活动中心（参照）,综合管理,1,12,2,1
永川区,永川区公共资源事务中心（参照）,综合管理,1,11,4,1
永川区,永川区最低生活保障事务中心（参照）,综合管理,2,15,6,0
永川区,永川区殡葬事务中心（参照）,综合管理,1,4,1,0
永川区,永川区预算编审中心（参照）,综合管理1,1,15,11,3
永川区,永川区预算编审中心（参照）,综合管理2,1,12,10,2
永川区,永川区国有资产管理中心（参照）,综合管理,1,34,18,6
