cityId,bsCityId,cityName,provinceId,provinceName,spelling,status,siteId,countryId,countryName
BL1203,BL1203,宜昌,BL1016,湖北省,yichangshi,ON_LINE,65eee5832d98850001143c84,BL0100,中国
BL1244,BL1244,中山,BL1018,广东省,zhongshanshi,ON_LINE,6268b314363f4f0a82543093,BL0100,中国
BL1169,BL1169,淄博,BL1014,山东省,ziboshi,ON_LINE,65ef005a1e9dac0001719b1a,BL0100,中国
BL1183,BL1183,郑州,BL1015,河南省,zhengzhoushi,ON_LINE,6268b17853245f055f21d677,BL0100,中国
BL1117,BL1117,镇江,BL1009,江苏省,zhenjiangshi,ON_LINE,6268b1e353245f055f21d755,BL0100,中国
